epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7829.52,0.48092,0.36817,0.91766,0.94046,0.94193,0.98409,0.87511,0.4857,0.36977,0.82384,0.000180009,0.000180009,0.000180009
43,8003.31,0.48801,0.36566,0.92364,0.94494,0.93929,0.983,0.8747,0.50703,0.37078,0.83075,0.000179057,0.000179057,0.000179057
44,8176.12,0.48708,0.35984,0.91395,0.93894,0.93813,0.9803,0.86961,0.49747,0.36508,0.82538,0.000178087,0.000178087,0.000178087
45,8348.52,0.46844,0.35035,0.92105,0.93569,0.9512,0.98307,0.87875,0.49036,0.3706,0.82367,0.000177097,0.000177097,0.000177097
46,8519.94,0.47996,0.36042,0.92262,0.94912,0.94208,0.98515,0.87811,0.4954,0.34968,0.82397,0.000176089,0.000176089,0.000176089
47,8691.51,0.47117,0.34974,0.9171,0.95089,0.93834,0.98345,0.87562,0.48664,0.35766,0.82183,0.000175061,0.000175061,0.000175061
48,8863.55,0.48978,0.36085,0.91413,0.95334,0.93384,0.98394,0.88419,0.4682,0.34784,0.81567,0.000174015,0.000174015,0.000174015
49,9036.02,0.47483,0.34789,0.90775,0.95614,0.93329,0.98494,0.883,0.47499,0.33703,0.81693,0.000172951,0.000172951,0.000172951
50,9206.82,0.48151,0.34876,0.90901,0.9446,0.94447,0.98535,0.8853,0.48368,0.34489,0.8175,0.000171869,0.000171869,0.000171869
51,9377.73,0.47794,0.33622,0.91247,0.93981,0.95126,0.98434,0.88393,0.46614,0.34451,0.81178,0.000170769,0.000170769,0.000170769
52,9547.89,0.47759,0.34461,0.91427,0.94706,0.95115,0.98613,0.89294,0.44909,0.3347,0.80842,0.000169652,0.000169652,0.000169652
53,9718.75,0.4532,0.33146,0.898,0.94593,0.94745,0.9857,0.88958,0.46572,0.33859,0.8094,0.000168518,0.000168518,0.000168518
54,9889.08,0.46378,0.34496,0.89877,0.94389,0.94374,0.9854,0.89255,0.46582,0.33887,0.81168,0.000167367,0.000167367,0.000167367
55,10060.9,0.45508,0.34631,0.90285,0.95182,0.94976,0.98643,0.89672,0.43891,0.33769,0.80747,0.000166199,0.000166199,0.000166199
56,10232.2,0.45861,0.34603,0.9074,0.94607,0.95101,0.98647,0.89563,0.44736,0.33116,0.81248,0.000165015,0.000165015,0.000165015
57,10403.8,0.46171,0.33679,0.90883,0.9516,0.94704,0.98596,0.89124,0.45527,0.34548,0.80914,0.000163815,0.000163815,0.000163815
